frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,system,iteration,representation,reference_method,reference_energy
N2_eqm_iter000_baseline,block2_pauli,1,-107.49650051179765,0.15761887302844002,False,0.5610569159907755,1,True,False,False,100,7,1e-06,0.0,0.0,"[-107.6416702478832, -107.49650051179765, -107.49650051179765, -107.49650051179765, -107.49650051179765, -107.49650051179765, -107.49650051179765]","[0.08727808299590833, 0.07100174998049624, 0.06689649997861125, 0.07091520898393355, 0.07151549999252893, 0.0715154170175083, 0.06166979199042544]",N2_eqm,0,baseline,pyblock2_qubit_reference_dmrg,-107.65411938482609
N2_eqm_iter000_baseline,block2_pauli,2,-107.53451950226794,0.11959988255814835,False,0.480878083006246,2,True,False,False,100,7,1e-06,1.4210854715202004e-14,0.0,"[-107.6416702478832, -107.53735933751373, -107.53451950226795, -107.53451950226794, -107.53451950226793, -107.53451950226795, -107.53451950226794]","[0.09086408300208859, 0.060272834001807496, 0.056358874979196116, 0.05665854099788703, 0.05455608302145265, 0.052429917006520554, 0.05713699999614619]",N2_eqm,0,baseline,pyblock2_qubit_reference_dmrg,-107.65411938482609
N2_eqm_iter000_baseline,block2_pauli,3,-107.5746974472261,0.07942193759998872,False,0.6800318329769652,3,True,False,False,100,10,1e-06,3.143605340483191e-07,0.0,"[-107.6416702478832, -107.57416522748473, -107.57578305187117, -107.57578838493649, -107.57472651694209, -107.57472094334256, -107.57469592513262, -107.57469969800808, -107.57469713286557, -107.5746974472261]","[0.10996362500009127, 0.0655242919747252, 0.06210762498085387, 0.05860737498733215, 0.0585725840064697, 0.05501712497789413, 0.04883720798534341, 0.05772783298743889, 0.06402583300950937, 0.05951391698908992]",N2_eqm,0,baseline,pyblock2_qubit_reference_dmrg,-107.65411938482609
N2_eqm_iter000_baseline,block2_pauli,4,-107.58592633352757,0.06819305129852182,False,0.47125483298441395,4,True,False,False,100,7,1e-06,1.6416569792454538e-07,0.0,"[-107.64167024788321, -107.58519420402608, -107.58583777680724, -107.58593020985839, -107.58592851414906, -107.58592649769326, -107.58592633352757]","[0.08713850000640377, 0.05811162499594502, 0.056660624977666885, 0.059871750010643154, 0.055907542002387345, 0.05646941700251773, 0.05237504202523269]",N2_eqm,0,baseline,pyblock2_qubit_reference_dmrg,-107.65411938482609
N2_eqm_iter000_baseline,block2_pauli,5,-107.59902264742047,0.05509673740561993,False,0.7671227499959059,5,True,False,False,100,10,1e-06,3.2726532595006574e-07,0.0,"[-107.64167024788321, -107.59898684423105, -107.59867790533045, -107.59863557680441, -107.59879912454261, -107.59879936745861, -107.59865043224828, -107.59865146143464, -107.59902232015514, -107.59902264742047]","[0.10040258298977278, 0.0655821249820292, 0.06341920798877254, 0.06309108401183039, 0.06511158400098793, 0.07945358302094974, 0.06390058298711665, 0.07056433300022036, 0.08135725001920946, 0.07309183402685449]",N2_eqm,0,baseline,pyblock2_qubit_reference_dmrg,-107.65411938482609
N2_eqm_iter000_baseline,block2_pauli,6,-107.60140243768174,0.05271694714434716,False,0.5932390840025619,6,True,False,False,100,7,1e-06,1.0585384302430612e-07,0.0,"[-107.64167024788321, -107.60120460178531, -107.6013414969564, -107.60134648023467, -107.60140236769874, -107.60140254353558, -107.60140243768174]","[0.09428295798716135, 0.06930254100007005, 0.06847566700889729, 0.07528441702015698, 0.0786174579989165, 0.09024345799116418, 0.07595150000997819]",N2_eqm,0,baseline,pyblock2_qubit_reference_dmrg,-107.65411938482609
N2_eqm_iter000_baseline,block2_pauli,7,-107.61127829598708,0.04284108883901183,False,0.556809500005329,7,True,False,False,100,7,1e-06,4.450139101663808e-08,0.0,"[-107.64167024788321, -107.61120259816246, -107.61145566312712, -107.61146076641202, -107.6114617573858, -107.61127834048847, -107.61127829598708]","[0.09620429200003855, 0.07084699999541044, 0.0735642499930691, 0.06633041700115427, 0.0653022909827996, 0.06842333401436917, 0.07620400001178496]",N2_eqm,0,baseline,pyblock2_qubit_reference_dmrg,-107.65411938482609
N2_eqm_iter000_baseline,block2_pauli,8,-107.61054848640944,0.04357089841664674,False,0.9182489170052577,8,True,False,False,100,11,1e-06,2.849896532097773e-07,0.0,"[-107.64167024788321, -107.61054084251792, -107.61053538683501, -107.61056723155345, -107.61056283607152, -107.61057118382269, -107.61054683892922, -107.61055452752896, -107.61055153573736, -107.61054820141979, -107.61054848640944]","[0.09922666699276306, 0.07605162501567975, 0.07615391598665155, 0.07239445802406408, 0.07667937502264977, 0.07482312500360422, 0.08355987499817275, 0.07432333298493177, 0.08427145800669678, 0.07938637500046752, 0.07842024997808039]",N2_eqm,0,baseline,pyblock2_qubit_reference_dmrg,-107.65411938482609
N2_eqm_iter000_baseline,block2_pauli,9,-107.6160459508269,0.0380734339991875,False,0.6320479999994859,9,True,False,False,100,7,1e-06,1.0742984102307673e-07,0.0,"[-107.64167024788321, -107.61585089603189, -107.61601526194355, -107.61604106911611, -107.61604518058749, -107.61604584339706, -107.6160459508269]","[0.10575962500297464, 0.08155395899666473, 0.08089312500669621, 0.07851391599979252, 0.0806973329745233, 0.08481166698038578, 0.08026641700416803]",N2_eqm,0,baseline,pyblock2_qubit_reference_dmrg,-107.65411938482609
N2_eqm_iter000_baseline,block2_pauli,10,-107.61832183372272,0.03579755110337146,False,0.7429437919927295,10,True,False,False,100,8,1e-06,6.72400801704498e-08,0.0,"[-107.64167024788321, -107.6183299632084, -107.61842310812702, -107.61855389849993, -107.61853960318803, -107.61854183204488, -107.61832176648264, -107.61832183372272]","[0.10834716699901037, 0.08155737500055693, 0.08349449999514036, 0.07786404198850505, 0.08579766598995775, 0.08753283400437795, 0.09368304201052524, 0.08631016701110639]",N2_eqm,0,baseline,pyblock2_qubit_reference_dmrg,-107.65411938482609
